DEPTH,TIME,TEMP,TEMP_QC,PSAL,PSAL_QC,LON,LAT,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
500.000,2020-10-01 00:00:00,0.805,1.000,34.887,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.723,34.953
500.000,2020-10-01 01:00:00,0.887,1.000,34.891,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.705,34.952
500.000,2020-10-01 02:00:00,0.911,1.000,34.890,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.688,34.952
500.000,2020-10-01 03:00:00,0.920,1.000,34.892,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.684,34.952
500.000,2020-10-01 04:00:00,0.952,1.000,34.888,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.688,34.952
500.000,2020-10-01 05:00:00,0.818,1.000,34.889,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.692,34.952
500.000,2020-10-01 06:00:00,0.959,1.000,34.889,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.697,34.952
500.000,2020-10-01 07:00:00,0.839,1.000,34.892,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.703,34.952
500.000,2020-10-01 08:00:00,0.725,1.000,34.889,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.710,34.952
500.000,2020-10-01 09:00:00,0.778,1.000,34.889,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.721,34.953
500.000,2020-10-01 10:00:00,0.937,1.000,34.891,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.734,34.953
500.000,2020-10-01 11:00:00,0.910,1.000,34.893,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.738,34.953
500.000,2020-10-01 12:00:00,0.963,1.000,34.880,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.724,34.953
500.000,2020-10-01 13:00:00,0.843,1.000,34.888,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.701,34.952
500.000,2020-10-01 14:00:00,1.058,1.000,34.888,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.673,34.952
500.000,2020-10-01 15:00:00,0.954,1.000,34.889,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.651,34.952
500.000,2020-10-01 16:00:00,0.889,1.000,34.893,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.645,34.952
500.000,2020-10-01 17:00:00,0.955,1.000,34.893,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.653,34.952
500.000,2020-10-01 18:00:00,0.830,1.000,34.893,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.668,34.952
500.000,2020-10-01 19:00:00,0.929,1.000,34.891,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.686,34.952
500.000,2020-10-01 20:00:00,1.081,1.000,34.889,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.701,34.952
500.000,2020-10-01 21:00:00,0.902,1.000,34.890,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.709,34.952
500.000,2020-10-01 22:00:00,0.990,1.000,34.888,1.000,2.203,65.829,400,333,2020-10-01,2020-10,3.709,34.952
