TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,year_month,TEMP_MOD,SALT_MOD
-0.175,1,34.908,1,2022-12-01 00:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.016,34.910
-0.159,1,34.908,1,2022-12-01 01:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.043,34.909
-0.161,1,34.908,1,2022-12-01 02:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.060,34.909
-0.167,1,34.907,1,2022-12-01 03:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.060,34.909
-0.154,1,34.907,1,2022-12-01 04:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.049,34.909
-0.160,1,34.909,1,2022-12-01 05:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.049,34.909
-0.167,1,34.909,1,2022-12-01 06:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.061,34.909
-0.150,1,34.910,1,2022-12-01 07:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.077,34.909
-0.121,1,34.903,1,2022-12-01 08:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.087,34.909
-0.123,1,34.915,1,2022-12-01 09:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.081,34.909
-0.153,1,34.908,1,2022-12-01 10:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.063,34.909
-0.117,1,34.907,1,2022-12-01 11:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.052,34.909
-0.146,1,34.910,1,2022-12-01 12:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.056,34.909
-0.133,1,34.906,1,2022-12-01 13:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.080,34.909
-0.157,1,34.907,1,2022-12-01 14:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.109,34.909
-0.143,1,34.908,1,2022-12-01 15:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.124,34.908
-0.136,1,34.907,1,2022-12-01 16:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.117,34.908
-0.130,1,34.909,1,2022-12-01 17:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.100,34.909
-0.132,1,34.907,1,2022-12-01 18:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.088,34.909
-0.117,1,34.909,1,2022-12-01 19:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.088,34.909
-0.124,1,34.906,1,2022-12-01 20:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.090,34.909
-0.131,1,34.907,1,2022-12-01 21:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.092,34.909
-0.117,1,34.907,1,2022-12-01 22:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.099,34.909
-0.116,1,34.907,1,2022-12-01 23:00:00,800,66.015,1.983,406,340,2022-12-01,2022-12,1.113,34.908
-0.096,1,34.908,1,2022-12-02 00:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.096,34.909
-0.139,1,34.908,1,2022-12-02 01:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.115,34.909
-0.129,1,34.908,1,2022-12-02 02:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.124,34.909
-0.110,1,34.908,1,2022-12-02 03:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.125,34.909
-0.096,1,34.908,1,2022-12-02 04:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.127,34.909
-0.078,1,34.905,1,2022-12-02 05:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.134,34.908
-0.074,1,34.908,1,2022-12-02 06:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.141,34.908
-0.069,1,34.905,1,2022-12-02 07:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.144,34.908
-0.135,1,34.913,1,2022-12-02 08:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.135,34.908
-0.127,1,34.906,1,2022-12-02 09:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.117,34.909
-0.135,1,34.909,1,2022-12-02 10:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.100,34.909
-0.106,1,34.908,1,2022-12-02 11:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.092,34.909
-0.084,1,34.903,1,2022-12-02 12:00:00,800,66.015,1.983,406,340,2022-12-02,2022-12,1.091,34.909
