TEMP,TEMP_QC,PSAL,PSAL_QC,TIME,DEPTH,LAT,LON,X,Y,DAY,TEMP_MOD,SALT_MOD
0.056,1,34.902,1,2021-11-27 12:00:00,500,66.015,1.983,406,340,2021-11-27,4.181,34.940
0.041,1,34.902,1,2021-11-27 13:00:00,500,66.015,1.983,406,340,2021-11-27,4.195,34.940
0.043,1,34.901,1,2021-11-27 14:00:00,500,66.015,1.983,406,340,2021-11-27,4.204,34.940
0.115,1,34.900,1,2021-11-27 15:00:00,500,66.015,1.983,406,340,2021-11-27,4.200,34.940
0.089,1,34.901,1,2021-11-27 16:00:00,500,66.015,1.983,406,340,2021-11-27,4.183,34.940
0.107,1,34.902,1,2021-11-27 17:00:00,500,66.015,1.983,406,340,2021-11-27,4.157,34.939
0.140,1,34.902,1,2021-11-27 18:00:00,500,66.015,1.983,406,340,2021-11-27,4.130,34.939
0.148,1,34.902,1,2021-11-27 19:00:00,500,66.015,1.983,406,340,2021-11-27,4.107,34.938
0.156,1,34.901,1,2021-11-27 20:00:00,500,66.015,1.983,406,340,2021-11-27,4.093,34.938
0.095,1,34.904,1,2021-11-27 21:00:00,500,66.015,1.983,406,340,2021-11-27,4.093,34.938
0.059,1,34.904,1,2021-11-27 22:00:00,500,66.015,1.983,406,340,2021-11-27,4.105,34.938
0.019,1,34.903,1,2021-11-27 23:00:00,500,66.015,1.983,406,340,2021-11-27,4.127,34.938
0.003,1,34.902,1,2021-11-28 00:00:00,500,66.015,1.983,406,340,2021-11-28,4.152,34.939
0.026,1,34.902,1,2021-11-28 01:00:00,500,66.015,1.983,406,340,2021-11-28,4.167,34.939
0.035,1,34.901,1,2021-11-28 02:00:00,500,66.015,1.983,406,340,2021-11-28,4.172,34.939
0.027,1,34.901,1,2021-11-28 03:00:00,500,66.015,1.983,406,340,2021-11-28,4.165,34.939
0.037,1,34.901,1,2021-11-28 04:00:00,500,66.015,1.983,406,340,2021-11-28,4.151,34.939
0.095,1,34.900,1,2021-11-28 05:00:00,500,66.015,1.983,406,340,2021-11-28,4.130,34.938
0.134,1,34.901,1,2021-11-28 06:00:00,500,66.015,1.983,406,340,2021-11-28,4.104,34.938
0.068,1,34.902,1,2021-11-28 07:00:00,500,66.015,1.983,406,340,2021-11-28,4.072,34.937
0.055,1,34.900,1,2021-11-28 08:00:00,500,66.015,1.983,406,340,2021-11-28,4.036,34.936
0.023,1,34.901,1,2021-11-28 09:00:00,500,66.015,1.983,406,340,2021-11-28,4.024,34.936
0.030,1,34.900,1,2021-11-28 10:00:00,500,66.015,1.983,406,340,2021-11-28,4.031,34.936
0.026,1,34.901,1,2021-11-28 11:00:00,500,66.015,1.983,406,340,2021-11-28,4.042,34.936
0.050,1,34.900,1,2021-11-28 12:00:00,500,66.015,1.983,406,340,2021-11-28,4.062,34.937
0.077,1,34.901,1,2021-11-28 13:00:00,500,66.015,1.983,406,340,2021-11-28,4.087,34.938
0.053,1,34.901,1,2021-11-28 14:00:00,500,66.015,1.983,406,340,2021-11-28,4.096,34.938
0.070,1,34.902,1,2021-11-28 15:00:00,500,66.015,1.983,406,340,2021-11-28,4.092,34.937
0.061,1,34.903,1,2021-11-28 16:00:00,500,66.015,1.983,406,340,2021-11-28,4.082,34.937
